Abatement cost	nhiễm)
Current and capital account	vốn.
Current prices	Giá hiện hành (thời giá).
Custom and practice	Tập quán và thông lệ
Custom markets	Các thị trường khách hàng.
Custom Co-operative Council	Uỷ ban hợp tác Hải quan.
duties	thụ đặc biệt và thuế bảo hộ.
Custom union	Liên minh thuế quan.
Cyclical unemployment	Thất nghiệp chu kỳ.
Cycling	Chu kỳ.
Damage cost	hại
Damped cycle	kỳ tắt.
Data	Số liệu, dữ liệu.
Dated securities	Chứng khoán ghi ngày hoàn trả.
DCF	luồng tiền.
Deadweight debt	Nợ "trắng".
Deadweight - loss	vô ích.
Dear money	Tiền đắt.
Debased coinage	Tiền kim loại.
Debentures	Trái khoán công ty.
Debreu Gerard	(1921-)
Debt	Nợ.
Debt conversion	Hoán nợ; Đổi nợ.
Debt finance	Tài trợ bằng vay nợ.
Debt for equity swaps	Hoán chuyển nợ thành cổ phần.
Debt management	Quản lý nợ.
Debtor nation	Nước mắc nợ.
Debt ratio	phần
Decile	Thập phân vị
Decimal coinage	Tiền đúc ước số mười
Decision function	Hàm quyết định
Decision lag	Độ trễ của việc ra quyết định
Decision rule	Quy tắc ra quyết định
Decision theory	Lý thuyết ra quyết định
Decreasing cost industry	Ngành có chi phí giảm dần
Decreasing returns	giảm dần
Decreasing returns to scale	Lợi tức giảm dần theo quy mô
Deferred ordinary shares	Cổ phiếu thường lãi trả sau
Deficit	Thâm hụt
Deficit financing	Tài trợ thâm hụt
Deficit units	Các đơn vị thâm hụt
Deflation	Giảm phát
Deflationnary gap	Chênh lệch gây giảm phát
Deflator	Chỉ số giảm phát
Degree of homogeneity	Mức độ đồng nhất
Degree of freedom	Bậc tự do (df)
Deindustrialization	Phi công nghiệp hoá.
Delors Report	Báo cáo Delors.
Demand	Cầu
Demand curve	Đường cầu.
Demand deposits	Tiền gửi không kỳ hạn.
Demand for inflation	Cầu đối với lạm phát.
Demand function	Hàm cầu
Demand for exchange	Cầu ngoại tệ.
Demand for money	Cầu tiền tệ
Demand management	Quản lý cầu.
Demand - pull inflation	Lạm phát do cầu kéo.
Demand schedule	Biểu cầu
Demand shift inflation	Lạm phát do dịch chuyển cầu.
Demography	Nhân khẩu học.
Density gradient	Gradient mật độ.
Dependence structure	Cấu trúc phụ thuộc.
Demonetization	sử dụng tiền mặt.
Dependency burden	Gánh nặng ăn theo.
Dependent variable	Biến số phụ thuộc.
Depletion allowance	Ưu đãi tài nguyên
Deposit	Tiền gửi
Deposit account	Tài khoản tiền gửi
Deposit money	Tiền gửi ngân hàng.
(DIDMCA)	gửi năm 1980.
Depreciation	Khấu hao; sự sụt giảm giá trị.
Depression	Tình trạng suy thoái.
Deregulation	điều tiết.
resources	và tái sinh.
Depreciation rate	Tỷ lệ khấu hao.
Depressed area	Khu vực trì trệ.
Derivative	Đạo hàm.
Derived demand	thứ phát.
Deseasonalization	Xoá tính chất thời vụ.
Desired capital stock	Dung lượng vốn mong muốn.
Determinant	hiệu |A|).
Detrending	hướng.
Devaluation	Phá giá
Devaluation and revaluation	Phá giá và nâng giá.
Developing countries	Các nước đang phát triển.
Development area	Vùng cần phát triển.
Development planning	hoạch phát triển.
Development strategy	Chiến lược phát triển.
Deviation	Độ lệch.
Standard deviation	Độ lệch chuẩn.
Dickey fuller test	Các kiểm định Dickey Fuller.
Difference equation	Phương trình vi phân
Differencing	Phương pháp vi phân
Difference principle	khác biệt
(DSP)	Quá trình vi phân tĩnh.
Differentials	lệch.
Differentiated growth	Tăng trưởng nhờ đa dạng hoá
Differentiation	phân
Diffusion	Quá trình truyền bá; Sự phổ biến
Dillon Round	Vòng đàm phán Dillon
Diminishing marginal utility	Độ thoả dụng biên giảm dần.
Diminishing returns	giảm dần
substitution	giảm dần.
wealth	giảm dần của tài sản/của cải.
Direct costs	Chi phí trực tiếp.
Direct debit	Ghi nợ trực tiếp.
Direct taxes	Thuế trực thu.
Directors	Ban giám đốc.
Director's Law	Quy luật Director
Dirty float	hoàn toàn
Disadvantaged workers	Những công nhân không có lợi thế.
Discharges	Những người bị thôi việc
Discounted cash flow (DCF)	tiền chiết khấu
Discounted cash flow yield	Lợi tức luồng tiền đã chiết khấu
Discount house	Hãng chiết khấu
Discounting	Chiết khấu
Discount market	Thị trường chiết khấu.
Discount rate	Tỷ lệ chiết khấu; suất chiết khấu
Discouraged Worker Hypothesis	Giả thuyết về công nhân nản lòng.
Discrete variable	Biến gián đoạn
Discretionary profits	Những mức lợi nhuận vượt trội
Discretionary stabilization	Sự ổn định có can thiệp
Discriminating monopoly	quyền có phân biệt.
Discrimination	Sự phân biệt đối sử.
Discriminatory pricing	Định giá có phân biệt
Diseconomies of growth	Tính phi kinh tế do tăng trưởng
Diseconomies of scale	Tính phi kinh tế do quy mô.
Disembodied technical progress	kỹ thuật tách rời.
Disequilibrium	không cân bằng
Disguised unemployment	Thất nghiệp trá hình.
Disincentive	Trở ngại
Disinflation	Quá trình giảm lạm phát.
Disintermediation	trung gian.
Disinvestment	Giảm đầu tư.
Displacement effect	thay đổi trạng thái.
Disposable income	tiêu; Thu nhập khả dụng.
Dissaving	Giảm tiết kiệm.
Distance cost	Phí vận chuyển.
Dirigiste	Chính phủ can thiệp.
Discount rate	Suất chiết khấu.
unemployment	Người thất nghiệp do nản lòng.
Distributed lags	Độ trễ có phân phối.
Distributed profits	Lợi nhuận được phân phối.
Distribution, theories of	Các lý thuyết phân phối.
Dispersion	Phân tán.
Distortions	Biến dạng
Distortions and market failures	trường.
Distribution (stats)	Phân phối.
Continuous distribution	Phân phối liên tục
Deterministic distribution	Phân phối tất định
Discrete distribution	Phân phối rời rạc
Normal distribution	Phân phối chuẩn
Probability distribution	Phân phối xác suất
Step distribution	Phân phối bậc thang
Triangular distribution	Phân phối tam giác
Union distribution	Phân phối đều.
Distributional equity	Công bằng trong phân phối.
Distributional wage	Trọng số phân phối
Distribution function	Chức năng phân phối.
Distributive judgement	BIỆN MINH PHÂN PHỐi.
Distributive justice	phối
Disturbance term	Sai số.
Disutility	Độ bất thoả dung.
Divergent cycle	Chu kỳ phân rã; Chu kỳ bùng nổ.
Divergence	Phân rã; phân kỳ; Sai biệt.
Diversification	Đa dạng hoá.
Diversifier	Người đầu tư đa dạng.
Dividend	Cổ tức.
Dividend cover	Mức bảo chứng cổ tức.
Dividend payout ratio	Tỷ số trả cổ tức
Dividend yield	Lãi cổ tức.
Division of labour	Phân công lao động.
Dollar certificate of deposite	Giấy chứng nhận tiền gửi đôla.
Domar, Evsey D.	(1914-)
Domestic credit expansion	Tín dụng trong nước (DCE).
Dominant firm price leadership	Giá của hãng khống chế.
Doolittle method	Phương pháp Doolittle
Double-coincidence of wants	hợp nhu cầu.
Double counting	Tính hai lần; Tính lặp
Double factorial terms of trade	cả hai bên.
Double switching	Chuyển đổi trở lại.
taxation relief.	thuế hai lần.
Dow Jones index	Chỉ số Dow Jones.
Dual decision hypothesis	Giả thuyết quyết định kép
Dualism, theory of	Lý thuyết nhị nguyên
Duality	Phương pháp đối ngẫu.
Dual labour market hypothesis	cấp.
Dollar standard	Bản vị đôla
Domestic absorption	Sự hấp thu trong nước.
Domestic - oriented growth	địa.
Domestic resources cost	Chi phí tài nguyên trong nước.
Dummy variable	Biến giả.
Dumping	Bán phá giá.
Duopoly	Lưỡng độc quyền bán.
Duopsony	Lưỡng độc quyền mua.
Duration of unemployment	Thời gian thất nghiệp
Durbin h - statistic	Số thống kê Durbin - h
Durbin- Watson	Số thống kê (d hoặc D.W.).
Dynamic economics	Kinh tế học động.
Dynamic model	Mô hình kinh tế động.
Dynamic peg	Tỷ giá hối đoái neo động.
Dynamic programming	Quy hoạch động.
advantage.	sánh.
Earmaking	Dành cho mục đích riêng.
Earning	Thu nhập.
Earnings driff	Khuynh hướng tăng thu nhập.
Earnings function	Hàm thu nhập.
Easy money	Tiền dễ vay.
policy	sách.
EC Agricultural Livies	Thuế nông nghiệp của EC
ECGD	GUARANTEE DEPARTMENT
Econometric model	Mô hình kinh tế lượng.
Econometrics	Môn kinh tế lượng.
Economic base	Cơ sở kinh tế.
Economic base multiplier	Nhân tử cơ sở kinh tế.
Economic community	Cộng đồng kinh tế.
Administration	Cơ quan Hợp tác kinh tế.
Economic development	Phát triển kinh tế.
Economic development Committee	Uỷ ban Phát triển kinh tế.
Economic development Institute	Viện Phát triển kinh tế.
Economic dynamics	Động học kinh tế.
Economic efficiency	Hiệu quả kinh tế.
Eclectic Keynesian	trung.
Economic cost	Chi phí kinh tế.
Economic growth	Tăng trưởng kinh tế.
Economic good	Hàng hoá kinh tế.
Economic imperialism	Đế quốc kinh tế.
Economic liberialism	Chủ nghĩa tự do kinh tế.
Economic man	Con người kinh tế.
Economic planning	Hoạch định kinh tế.
Economic policy	Chính sách kinh tế.
Economic price	Giá kinh tế.
Economic profit	Lợi nhuận kinh tế.
Economic rent	lợi kinh tế.
Economic rate of return	Tỷ suất lợi nhuận kinh tế.
Economics	Kinh tế học.
Economic surplus	Thặng dư kinh tế.
Economies of scale	kinh tế nhờ quy mô.
Economic theory of polities	Lý thuyết chính trị dựa trên kinh tế.
Economic union	Cộng đồng kinh tế.
Economic welfare	Phúc lợi kinh tế.
Economies of learning	kinh tế do học tập
Economy of high wages	Nền kinh tế có tiền công cao.
Edgeworth, Francis Ysidro	(1845-1926).
Effective demand	Cầu hữu hiệu.
Effective	Hiệu dụng, hiệu quả.
Effective rate of protection	hộ hữu hiệu.
Effective rate of tax	hữu hiệu.
Effective protection	hiệu.
Effective rate of return	Suất sinh lợi hiệu dụng.
Efficiency	Tính hiệu quả; Tính hiệu dụng.
Efficiency earnings	Thu nhập hiệu quả.
Efficiency units	Đơn vị hiệu quả.
Efficiency wages	hiệu dụng/ hiệu quả.
Efficiency wage theory	Lý thuyết tiền công hiệu quả.
Efficient asset market	hiệu quả.
Efficient market hypothesis	quả.
Efficient resource allocation	Sự phân bổ nguồn lực có hiệu quả
Effort aversion	Ngán nỗ lực; Không thích nỗ lực.
EFTA	ASSOCIATION
EIB	BANK.
Elastic and unit elastic demand	đơn vị.
Elasticity	Độ co giãn
Elasticity of demand	Độ co giãn của cầu.
Elasticity of input substitution	vào.
Eligible asset ratio	Tỷ số tài sản dự trữ.
Eligible paper	Giấy tờ đủ tiêu chuẩn chiết khấu.
Elitist good	Hàng xa xỉ
EMA	AGREEMENT
Embodied technical progress	hàm chứa kỹ thuật.
Emoluments	lương chính
Endogeneous consumption	Tiêu dùng nội sinh.
(ESOP)	người làm.
Employment Act of 1946	Đạo luật Việc làm năm 1946
Employment Service	Dịch vụ việc làm.
Employment subsidies	Trợ cấp việc làm.
EMS	SYSTEM
Encompassing test	nghiệm vòng biên.
Endogenous income hypothesis	Giả thiết thu nhập nội sinh
Endogenous money supply	Cung tiền tệ nội sinh.
Endogenous variable	Biến nội sinh.
Endowment effect	Hiệu ứng hàng đã có.
Energy intensity	Cường độ sử dụng năng lượng.
nomenklatura	Đặc quyền của giới chức.
Engagements	Tuyển dụng (hay thuê mới).
Engel curve	Đường Engel.
Engel's Law	Quy luật của Engel.
Engineering method	Phương pháp kỹ thuật.
Entitlement principle	Nguyên tắc được quyền.
Entrepreneur	Chủ doanh nghiệp.
Entrepreneurial supply price	Giá cung ứng của doanh nghiệp.
Entrepreneurship	nghiệp.
Entry barriers	Rào cản nhập nghành.
Entry and exit	Nhập nghành và xuất ngành.
Entry forestalling price	Giá ngăn chặn nhập ngành.
Entry preventing price	Giá ngăn chặn nhập ngành.
Environmental conditions	Những điều kiện môi trường.
Environmental determinism	Quyết định luận do môi trường.
Environmental impact analysis	Phân tích tác động môi trường.
Equal advantage	bằng.
of 1972	đẳng/ngang bằng năm 1972.
Commision	ngang bằng.
Equalization grants	Các khoản trợ cấp để cân bằng.
of	Lhuyết cân bằng chênh lệch
Equal pay	bình đẳng.
Equal sacrifice theories	thuyết hy sinh bình đẳng.
Equation of exchange	Phương trình trao đổi.
Equilibrium	Cân bằng
Equilibrium error	Sai số cân bằng
Equilibrium price	Giá cân bằng
Equilibrium rate of inflation	Tỷ lệ lạm phát cân bằng.
Equities	Cổ phần
Equity	Công bằng
Equity capital	Vốn cổ phần
Equivalance scale	tương đương.
Equivalent commodity scale	hàng hoá tiêu dùng tương đương.
Equivalent income scale	thu nhập tương đương
Equivalent variation	Mức biến động tương đương
Error correction models (ECMs)	Các mô hình sửa chữa sai số.
Error learning process	Quá trình nhận biết sai số.
Errors variables	trong các phép đo).
Escalators	Điều khoản di động giá.
Estate duty	Thuế di sản (thuế tài sản thừa kế).
Estate economy	Nền kinh tế đồn điền.
Estimation	Sự ước lượng.
Estimator	lượng.
EUA	ACCOUNT
Euler's theorem	Định lý Euler
Eurocurrency market	Thị trường tiền tệ Châu ÂU.
Eurodollars	Đola Châu Âu.
and Guaranted Fund	nghiệp Châu Âu.
and Development	Châu ÂU.
Community	Cộng đồng Than và thép Châu Âu.
European Community Budget	Ngân sách Cộng đồng Châu Âu.
European Commom Market	Thị trường chung Châu Âu.
European Community	Cộng đồng Châu Âu.
European Currency Unit	Đơn vị tiền tệ Châu Âu.
European Devolopment Fund	Quỹ phát triển Châu Âu.
European Economic Community	Cộng đồng Kinh tế Châu Âu.
European Free Trade Association	Hiệp hội Mậu dịch tự do Châu Âu.
European Fund	Quỹ Châu Âu.
European Investment Bank	Ngân hàng Đầu tư Châu Âu.
European Monetary Agreement	Hiệp định tiền tệ Châu Âu.
Fund	Quỹ hợp tác Tiền tệ Châu ÂU.
European Monetary Fund	Quỹ Tiền tệ Châu ÂU.
Account	Đơn vị Kế toán Tiền tệ Châu Âu.
European Payments Union	Liên minh Thanh toán Châu Âu.
European Recovery Programme.	Chương trình Phục hưng Châu Âu.
Fund.	Quỹ Phát triển Khu vực Châu Âu.
European Social Fund.	Quỹ Xã hội Châu ÂU.
European Unit of Account	Đơn vị Kế toán Châu Âu.
Exact test	Kiểm nghiệm chính xác.
Ex ante	Từ trước; Dự tính; dự định
Excess capacity	Thừa năng lực, thừa công suất.
Excess capacity theory	Thuyết thừa công suất.
Excess burden	Gánh nặng thuế quá mức.
Excess demand	Mức cầu dư; Dư cầu.
Excess goods)	Tư liệu sản xuất nhàn rỗi.
Excess reserves	Khoản dự trữ dư; Dự trữ dư.
Excess supply	Mức cung dư; Dư cung
Excess profit	Lãi vượt.
Excess wage tax	chống tăng lương
Exchange	Trao đổi
Exchange control	Quản lý ngoại hối.
Exchange Equalization Account	Quỹ bình ổn Hối đoái.
Exchange rate	Tỷ giá hối đoái.
Exchange rate Mechanism	Cơ chế tỷ giá hối đoái.
Exchange reserves	Dự trữ ngoại hối.
Exchequer	Kho bạc, ngân khố Anh.
Excise duty	Thuế tiêu thụ đặc biệt.
Exclusion	Loại trừ
Excludable	Có thể loại trừ.
Exclusion principle	Nguyên tắc loại trừ.
Executive	Người điều hành.
Exempt goods	gia tăng.
Exhaustive voting	Cách bỏ phiếu thấu đáo.
Existence, theorem of	Định lý về sự tồn tại.
Exit-voice model	Mô hình nói rút lui.
Excise taxes	Các mức thuế trên từng mặt hàng.
Exchange rate speculation	Sự đầu cơ tỷ giá hối đoái.
Effective exchange rate	Tỷ giá hối đoái hiệu dụng
Exogeneity	Yếu tố ngoại sinh.
Exogeneity of money supply	Sự ngoại sinh của cung tiền tê.
Exogenous	(thuộc) ngoại sinh.
Exogenous variable	Biến ngoại sinh.
Expansionary phase	tăng trưởng.
Expansion path	rộng
Expatriate	triển)
Expectations	Kỳ vọng; dự tính.
Expectations, augmented	Biến bổ sung về dự tính.
Expectations lag	Độ trễ kỳ vọng; Độ trễ dự tính
Expected inflation	dự tính
Expected net returns	ròng dự tính.
Expected utility theory	Thuyết thoả dụng dự tính.
Expected value	Giá trị kỳ vọng; giá trị dự tính.
Expenditure approach	tính GDP).
Expenditure-switching policies	tiêu.
Expenditure tax	Thuế chi tiêu
Expenditure-variation controls	tiêu.
Expense preference	Ưu tiên chi tiêu.
Explanatory variable	Biến giải thích
Explicit function	Hàm hiện
Exploitation	Khai thác; bóc lột.
Explosive cycle	Chu kỳ bùng nổ.
Exponential	Thuộc số mũ, thuộc hàm mũ.
Export	Xuất khẩu, hàng xuất khẩu.
Export-import bank	Ngân hàng xuất nhập khẩu.
Export-led growth	Tăng trưởng dựa vào xuất khẩu.
Export promotion	Khuyến khích xuất khẩu.
Department.	Cục Bảo đảm tín dụng xuất khẩu.
Export-oriented industrialization	khẩu.
Ex post	từ sau; sau đó
Extensive margin	Mức cận biên quảng canh.
External balace	bên ngoài.
External deficit	ngoài.
External diseconomy	ngoài
diseconomies of scale	bên ngoài theo quy mô.
External economy	Tính kinh tế từ bên ngoài
External finance	(Nguồn) tài chính từ bên ngoài.
External financial limits	bên ngoài.
External growth	trưởng do bên ngoài.
Externalities	Các ngoại hưởng; Các ngoại ứng
External labour market	Thị trường lao động bên ngoài.
External reserve	Dự trữ ngoại hối.
Dynamic externalities	động.
Extraneous information	Thông tin không liên quan
Extrapolative expectation	ngoại suy.
Extrema	Các cực trị.
Extrema Keynesian	đoan.
progress	hưởng của yếu tố.
Factor endowment	yếu tố sản xuất.
Factor incomes	Thu nhập từ yếu tố sản xuất.
Factoring	nợ.
Factor-price equalization	cả.
Factor-price frontier	Giới hạn yếu tố sản xuất - giá cả.
Factor intensity	dụng) các yếu tố sản xuất.
Factor proportion	Tỷ lệ các yếu tố sản xuất.
Factor reverals	xuất.
Factors of production	Các yếu tố sản xuất.
Factor substitution effect	Tác động thay thế yếu tố sản xuất.
Factor utilization	Sự sử dụng yếu tố sản xuất.
Factorial	Giai thừa.
Fair comparisons	So sánh công đẳng.
Fair rate of return	Tỷ suất lợi tức công bằng.
Fair trade law	Luật thương mại công bằng.
Fair trading Act 1973	1973
Fair trading, Office of	Văn phòng thương mại công bằng.
Fair wages	Tiền công công bằng.
Fallacy of composition	"sai lầm do gôm gộp/ tổng hợp".
False trading	Thương mại lừa dối.
Family expenditure survey	Điều tra chi tiêu gia đình.
Family credit	Tín dụng gia đình.
Family-unit agriculture	đình.
FAO	ORGANIZATION.
FASB	STANDARDS BOARD
FCI	Xem FINANCE FOR INDUSTRY.
Featherbedding	(nhồi lông nệm).
Fed., the	bang.
Corporation (FDIC)	bang.
Federal Fund Market	Thị trường Tiền quỹ liên Bang.
(FHLBS)	bộ của liên bang.
Feasibility study	Nghiên cứu khả thi.
Association (FNMA)	bang
Federal Open Market Committee	Uỷ ban Thị trường mở Liên bang.
Federal Reserve Note	Bang
Federal Reserve System	Hệ thống Dự trữ Liên bang.
Federal Trade Commission Act	Liên bang.
Feedback/entrapment effects	Tác động phản hồi/bẫy.
Feudalism	Chủ nghĩa phong kiến.
Fiat money	Tiền theo luật định
Fiduciary issue	Tiền không được bảo lãnh.
Filter	Bộ lọc.
Filtering	Quá trình lọc.
Final goods	Hàng hoá cuối cùng.
Final offer arbitration	định cuối cùng.
Final product	Sản phẩm cuối cùng.
Finance	Tài chính
Finance Corporation for Industry	Công ty Tài chính Công nghiệp.
Finance house	chính.
Finance houses market	chính; Thị trường công ty tài chính.
Financial Capital	Vốn tài chính.
Financial instrument	Công cụ tài chính.
Financial displine	chính.
Financial intermediary	Trung gian tài chính.
Financial price	Giá tài chính.
Financial ratios	Tỷ số tài chính.
Financial risk	Rủi ro tài chính.
Indices	báo Financial Times.
Index	Financial Times.
Financial year	Năm tài chính.
Financial statement	Báo cáo tài chính.
Financial rate of return	Suất sinh lợi tài chính.
Finite memory	Bộ nhớ xác định (hữu hạn).
Firm	Hãng sản xuất.
Firm, theory of the	Lý thuyết về hãng.
Finite horizon	Tầm nhìn/ khung trời hữu hạn.
Firm-specific human capital	Vốn nhân lực đặc thù đối với hãng.
efficiency	và tốt nhì.
First difference	Vi phân bậc I.
First order condition	Điều kiện đạo hàm bậc I.
Fiscal policy	thu chi ngân sách.
Fiscal decentralization	cấp ngân sách.
Fiscal drag	Sức cản của thuế khoá.
Fiscal federalism	bang.
Fiscal illusion	Ảo giác thuế khoá.
Fiscal multiplier	Nhân tử thuế khoá.
Fiscal walfare benefits	Lợi ích phúc lợi thuế khoá.
Fisher, Irving	(1867-1947)
Fisher equation	Phương trình Fisher
Fisher open	PARITY.
Fixed asset	Tài sản cố định.
function	định.
Fixed cost	Chi phí cố định; định phí.
Fixed exchange rate	Tỷ giá hối đoái cố định.
Fixed factors	sản tố cố định.
Fixed labour costs	Chi phí lao động cố định.
Fixed-price mdel	Các mô hình mức giá cố định.
Fixed / floating exchange rates	Tỷ giá hối đoái cố định / thả nổi.
Fixed proportions in production	Tỷ lệ cố định trong sản xuất.
Fixprice and flexprice	Giá bất biến và giá linh hoạt.
Flat yield	Tiền lãi đồng loạt.
Flexible exchange rate	Tỷ giá hối đoái linh hoạt.
Flexitime	Thời gian làm việc linh hoạt.
Flight from cash	Bỏ tiền mặt.
Float	Tiền trôi nổi.
Floating capital	Vốn luân chuyển.
Floating charge	Phí linh động
Floating debt	Nợ thả nổi
Floating exchange rate	Tỷ giá hối đoái thả nổi.
Floating pound	Đồng bảng Anh thả nổi.
Floor	Sàn.
Flotation	Phát hành.
Flow	Dòng, luồng, Lưu lượng.
Flow of funds analysis	Phân tích luồng tiền quỹ
FOB	FOB.
(FAO)	nghiệp của Liên hợp quốc.
Footloose industries	định.
Forced riders	Người hưởng lợi bắt buộc.
Forced saving	Tiết kiệm bắt buộc.
Forecast error	Sai số dự đoán.
Forecasting	Dự đoán
Foreign aid	Viện trợ nước ngoài.
Foreign balance	Cán cân thanh toán quốc tế.
Foreign exchange	Ngoại hối.
Foreign exchange market	Thị trường Ngoại hối.
Foreign exchange reserve	Dự trữ ngoại hối.
Foreign investment	Đầu tư nước ngoài.
Foreign payments	Thanh toán với nước ngoài.
Foreign trade mutiplier	Nhân tử ngoại thương.
Forward contract	hạn.
Forward exchange market	trường hối đoái kỳ hạn.
Forward intergration	Liên kết xuôi.
Forward linkage	Liên hệ xuôi.
Forward market	kỳ hạn.
Forward rate	hối đoái kỳ hạn.
Forward and contingent market	trắc.
markets	trường giao ngay.
Foundation grant	Trợ cấp cơ bản.
Fourier analysis	Phân tíc Fourier
Fractional reserve banking	dự trữ theo tỷ lệ.
Franked investment income	Thu nhập đầu tư được miễn thuế.
Free exchange rates	Tỷ giá hối đoái tự do
Freedom of entry	Tụ do nhập ngành.
Freed good	trả tiền
Free market	Thị trường tự do.
Free market economy	Nền kinh tế thị trường tự do.
Free on board	Giao hàng tại bến.
Free reserves	Dự trữ tự do.
Free rider	Người xài chùa; người ăn không.
Free trade	Thương mại tự do.
Free trade area	Khu vực thương mại tự do.
Frequency distribution	Phân bố theo tần suất.
Frictional unemployment	Thất nghiệp do chờ chuyển nghề
Fringe benefit	Phúc lợi phi tiền tệ.
Frisch, Ragnar	(1895-1973)
F-statistic	Thống kê F.
Full bodied money	Tiền quy ước.
Full cost	Chi phí đầy đủ.
Full cost pricing	Định giá theo chi phí đầy đủ.
Fractional reserve system	Hệ thống dự trữ một phần.
Free-rider problem	Vấn đề người "xài chùa".
unemployment	và do chờ chuyển nghề.
Full-employment budget	làm.
Full-employment budget surplus	sách khi có đủ việc làm.
Full-employment national income	dân khi có đủ việc làm.
rate	nghiệp tự nhiên khi có đủ việc làm.
(FIML)	có đủ thông tin.
Function	Hàm số.
Fuctional costing	Lập chi phí theo chức năng.
Function of function rule	Quy tắc hàm của một hàm số.
Funded debt	Nợ vô thời hạn; Nợ được tài trợ.
Funding	Đổi nợ, đảo nợ; cấp vồn, tài trợ.
Function income distribution	năng.
Futures contract	Hợp đồng kỳ hạn
Futures market	Thị trường kỳ hạn
Future value	Giá trị tương lai.
(GAB)	Hiệp ước vay nợ chung.
Gains from trade	Lợi ích của thương mại.
Galbraith, John Kenneth	(1908-)
Galloping inflation	Lạm phát phi mã.
Game theory	Lý thuyết trò chơi.
Gauss- Markov Theorem	Điịnh lý Gauss- Markov.
GDP	Tổng sản phẩm quốc nội.
Gearing	vốn cổ phần
Gearing ratio	Tỷ số ăn khớp
Trade (GATT)	thương mại.
General Agreement to Borrow	Thoả thuận Chung về Đi vay.
Activities in t	châu Âu.
General equilibrium	thể.
General grant	Trợ cấp chung.
Generalized least square (GLS)	Bình phương nhỏ nhất tổng quát.
General linear model (GLM)	Mô hình tuyến tính tổng quát.
Preferences (GSP)	thống ưu đãi chung.
General price level	Mức giá chung.
Interest and Money	Lãi suất và Tiền tệ.
General human capital	chung; vốn nhân lực chung chung.
General union	Các nghiệp đoàn.
Geneva Conference	Hội nghị Geneva.
Geneva Round	Vòng đàm phán Geneva.
Geographic frontier	Giới hạn địa lý.
Geometric lag	Độ trễ cấp số nhân.
growth	lệ.
Giffen good	Hàng hoá Giffen
Gifts tax	Thuế quà tặng.
Gilt- edged securities	khoán hảo hạng.
Gini coefficient	Hệ số GINI.
Giro system	Hệ thống chuyển khoản Giro
Glejser test	Kiểm định Glejser.
GNP	Tổng sản phẩm quốc dân.
Gold bricking	Hoạt động lưa dối.
Gold certificate	Giấy chứng gửi vàng.
"gold age" growth	Tăng trưởng "thời kỳ hoàng kim".
Golden rule	Nguyên tắc vàng; Quy tắc vàng.
Golden rule of accumulation	tắc vàng của tích luỹ.
Gold exchange standard	Bản vị trao đổi bằng vàng.
Gold export point	Điểm xuất khẩu vàng.
Gold import point	Điểm nhập khẩu vàng.
Goldfeld - Quandt	Kiểm định Goldfeld - Quandt.
Gold market	Thị trường vàng.
Gold points	Các điểm vàng.
GDP and nation income	GDP và thu nhập quốc dân.
GDP at factor cost	GDP theo chi phí sản xuất.
GDP at market prices	GDP theo giá thị trường.
GDP deflator	Hệ số khử lạm phát cho GDP.
Gold reserve	Dự trữ vàng.
Gold standard	Bản vị vàng.
Goldbugs	Những con mọt vàng.
Goodhart's law	Luật Goodhart.
Goodness of fit	Mức độ phù hợp.
Goods	Các hàng hoá tốt.
Goodwill	Thiện chí.
Gosplan	Uỷ ban kế hoạch (Liên Xô).
Government deficit	Thâm hụt của Chính phủ.
Government expenditure	Chi tiêu của chính phủ.
Association (GNMA)	Chính phủ.
Government regulation	Sự điều tiết của chính phủ.
Government securities	Chứng khoán của chính phủ.
taxes	ròng.
and services	hoá và dịch vụ.
Gradualism	tuần tiến; thuyết tuần tiến.
Gradualist monetarist	tiến.
Graduate tax	Thuế đại học
Grand factor price frontier	Giới hạn giá cả nhân tố chính.
Grandfather clause	có chức.
Granger causality	Tính nhân qủa Granger.
Grant	Trợ cấp.
Grant in aid	Trợ cấp dưới dạng viện trợ.
Gravity model	Mô hình lực hấp dẫn.
"Great Leap Forward"	Đại nhảy vọt
Green pound	Đồng bảng xanh
Green revolution	Cách mạng Xanh.
Gresham's Law	Luật Gresham.
Gross barter terms of trade	Tổng tỷ lệ hàng đổi hàng.
formation	Tổng tư bản cố định trong nước.
Gross domestic product (GDP)	Tổng sản phẩm quốc nội.
Gross domestic product deflator	phẩm quốc nội.
Gross investment	Tổng đầu tư.
Gross margin	Mức chênh giá gộp.
Gross national income	Tổng thu nhập quốc dân.
Gross profit	Tổng lợi nhuận
Gross trading profit	Tổng lợi nhuận thương mại.
Group of Ten	Nhóm G10.
Group of Seven	Nhóm G7.
Group of 77	Nhóm 77.
Growth-gap unemployment	trưởng.
Growth path	Đường tăng trưởng.
Growth-profitability function	Hàm lợi nhuận - tăng trưởng.
Growth-stock paradox	Nghịch lý cổ phần tăng trưởng.
Growth theories of the firm	của hãng.
Growth theory	Lý thuyết tăng trưởng.
Growth rate	Tốc độ tăng trưởng.
Growth-valuation function	Hàm giá trị - tăng trưởng.
G.7	Xem GROUP OF SEVEN
Guaranteed week	Tuần lễ bảo đảm.
Guidelines	Nguyên tắc chỉ đạo.
Guidepost following behaviour	Hành vi theo hướng chỉ dẫn.
Guideposts	Các chỉ dẫn.
Haavelmo, Trygve	(1911-)
